 Date,Campaign Description
2023-03-05,Jenna Ortega announced as Brand Ambassador
2023-03-12,Jenna Ortega announced as Brand Ambassador
2023-03-19,Jenna Ortega announced as Brand Ambassador
2023-03-26,Jenna Ortega announced as Brand Ambassador
2023-04-08,Jenna Ortega announced as Brand Ambassador
2023-04-15,Jenna Ortega announced as Brand Ambassador
2023-05-28,Jenna Ortega and Jennifer Gardner ad
2023-06-04,Jenna Ortega and Jennifer Gardner ad
2023-06-11,Jenna Ortega and Jennifer Gardner ad
2023-06-18,Jenna Ortega and Jennifer Gardner ad
2023-06-25,Jenna Ortega and Jennifer Gardner ad
2023-07-02,Jenna Ortega and Jennifer Gardner ad